symbol,asset_type,total_signals,correct,accuracy_pct,buy_signals,buy_correct,buy_accuracy_pct,sell_signals,sell_correct,sell_accuracy_pct,neutral_count,sharpe_ratio,max_drawdown_pct,win_rate_pct,avg_trade_return_pct,avg_buy_return_pct,avg_sell_return_pct,best_trade_pct,worst_trade_pct,final_portfolio_value,total_return_pct
KCHOL.IS,stock,3,3,100.0,0,0,0.0,3,3,100.0,184,16.76,0.0,100.0,2.91,0.0,2.91,4.53,1.55,1.0896,9.0
EREGL.IS,stock,2,2,100.0,1,1,100.0,1,1,100.0,185,9.83,0.0,100.0,3.98,6.85,1.11,6.85,1.11,1.0803,8.0
BTC-USD,crypto,3,3,100.0,1,1,100.0,2,2,100.0,298,49.8,0.0,100.0,11.42,9.72,12.27,13.61,9.72,1.3827,38.3
BNB-USD,crypto,1,1,100.0,1,1,100.0,0,0,0.0,300,0.0,0.0,100.0,2.15,2.15,0.0,2.15,2.15,1.0215,2.1
SOL-USD,crypto,6,6,100.0,2,2,100.0,4,4,100.0,295,28.56,0.0,100.0,5.95,4.95,6.45,8.25,3.85,1.4137,41.4
PGSUS.IS,stock,3,2,66.7,2,1,50.0,1,1,100.0,184,11.1,0.0,100.0,5.38,3.44,9.24,9.24,0.89,1.1682,16.8
AVAX-USD,crypto,6,4,66.7,3,2,66.7,3,2,66.7,295,0.12,-11.8,66.7,0.14,-0.39,0.67,8.08,-11.82,0.9867,-1.3
AKBNK.IS,stock,4,2,50.0,1,1,100.0,3,1,33.3,183,0.01,-6.4,50.0,0.0,4.18,-1.39,4.18,-6.05,0.9971,-0.3
ETH-USD,crypto,6,2,33.3,2,1,50.0,4,1,25.0,295,-1.46,-27.7,33.3,-1.89,5.02,-5.35,10.86,-11.62,0.8687,-13.1
THYAO.IS,stock,3,0,0.0,3,0,0.0,0,0,0.0,184,-12.34,-6.6,0.0,-2.23,-2.23,0.0,-1.28,-4.04,0.9344,-6.6
GARAN.IS,stock,1,0,0.0,1,0,0.0,0,0,0.0,186,0.0,-1.9,0.0,-1.87,-1.87,0.0,-1.87,-1.87,0.9813,-1.9
ASELS.IS,stock,0,0,0.0,0,0,0.0,0,0,0.0,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TUPRS.IS,stock,0,0,0.0,0,0,0.0,0,0,0.0,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FROTO.IS,stock,0,0,0.0,0,0,0.0,0,0,0.0,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SAHOL.IS,stock,2,0,0.0,1,0,0.0,1,0,0.0,185,-20.33,-3.0,0.0,-1.52,-0.99,-2.05,-0.99,-2.05,0.9699,-3.0
